person,category,type,description,text
Taylor_Swift,singer,A,American singer-songwriter,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. Her narrative lyricism, which often takes inspiration from her personal life, has received widespread critical praise and media coverage. Born in West Reading, Pennsylvania, Swift relocated to Nashville, Tennessee, in 2004 to pursue a career in country music. She broke into the country music scene with her eponymous debut studio album in 2006, which included the singles ""Teardrops on My Guitar"" and ""Our Song"". Swift rose to mainstream prominence with her second studio album, Fearless (2008), a country pop record with crossover appeal."
Pete_Townshend,singer,A,"English rock guitarist of The Who, vocalist, songwriter and author","Peter Dennis Blandford Townshend (born 19 May 1945) is an English guitarist, singer and composer. He is co-founder, leader, guitarist, secondary lead vocalist and principal songwriter of the Who, one of the most influential rock bands of the 1960s and 1970s.Townshend has written more than 100 songs for 12 of the Who's studio albums. These include concept albums, the rock operas Tommy and Quadrophenia, plus popular rock radio staples such as Who's Next; as well as dozens more that appeared as non-album singles, bonus tracks on reissues, and  tracks on rarities compilations such as Odds & Sods (1974). He has also written more than 100 songs that have appeared on his solo albums, as well as radio jingles and television theme songs. As an instrumentalist, although known primarily as a guitarist, Townshend also plays keyboards, banjo, accordion, harmonica, ukulele, mandolin, violin, synthesiser, bass guitar, and drums."
Caroline_Sunshine,singer,A,"American actress, dancer and singer","Caroline Mohr Sunshine (born September 5, 1995) is an American former actress, dancer, and singer who previously worked as a White House staffer. As an actress, she is best known for her co-starring role as flashy, rude European exchange student Tinka Hessenheffer on the Disney Channel series Shake It Up. Sunshine has also appeared in the feature film Marmaduke (2010), the documentary Behind The Scenes (2012), and the direct-to-video film The Outfield (2015). Caroline Sunshine was born on September 5, 1995, in Atlanta, Georgia, to parents Thom and Karen Sunshine. She was raised in Orange County, California, and has two younger brothers, Johnny and Christopher."
Katja_Ebstein,singer,A,German singer,"Katja Ebstein (born Karin Witkiewicz; 9 March 1945) is a German singer. She was born in Girlachsdorf (now Gniewków, Poland). She achieved success with songs such as Theater and Es war einmal ein Jäger. She was married to Christian Bruhn, who wrote many of her songs. She represented Germany at the Eurovision Song Contest three times, in 1970, 1971, and 1980."
Lonnie_Donegan,singer,A,Scottish-born skiffle musician,"Anthony James Donegan  (29 April 1931 – 3 November 2002), known as Lonnie Donegan, was a British skiffle singer, songwriter and musician, referred to as the ""King of Skiffle"", who influenced 1960s British pop and rock musicians. Born in Scotland and raised in England, he was Britain's most successful and influential recording artist before the Beatles.Donegan had 31 UK top 30 hit singles, 24 being successive and three at number one. He was the first British male singer with two US top 10 hits. Donegan received an Ivor Novello lifetime achievement award in 1995 and, in 2000, he was made an MBE. Donegan was born in Bridgeton, Glasgow, Scotland, on 29 April 1931."
Nicky_Hopkins,singer,A,English session musician; pianist and organist,"Nicholas Christian Hopkins (24 February 1944 – 6 September 1994) was an English pianist and organist. Hopkins recorded and performed on many notable British and American pop and rock music releases from the 1960s through the 1990s including many songs by The Rolling Stones, The Kinks and The Who. Nicholas Christian Hopkins was born in Perivale, Middlesex, England, on 24 February 1944. He began playing the piano at the age of three. He attended Sudbury Primary School in Perrin Road and Wembley County Grammar School, which now forms part of Alperton Community School, and was initially tutored by a local piano teacher; in his teens he won a scholarship to the Royal Academy of Music in London."
Paty_Navidad,singer,A,Mexican actress and singer,"Paty Navidad (Spanish pronunciation: [paˈtɾisja naβiˈðað]; born Ana Patricia Navidad Lara on May 20, 1973) is a Mexican actress and singer. Navidad developed an interest in music before acting, mainly influenced by her father, Jesús. She once was quoted as saying that his voice has been her inspiration since she was born. When she was nine years old she sang to the public for the first time in a school festival, and at fifteen she made her professional debut. Two years later, Navidad saw a greater opportunity in the Señorita Sinaloa (Miss Sinaloa) contest which offered as a grand prize a scholarship to Centro de Educación Artística de Televisa (Center of Artistic Education) in Mexico City."
Matthew_Broderick,singer,A,"American film, stage and voice actor","Matthew Broderick (born March 21, 1962) is an American actor and singer. His roles include the Golden Globe-nominated portrayal of the title character in Ferris Bueller's Day Off (1986), the voice of Simba in Disney's The Lion King (1994), and Leo Bloom in both the Broadway musical The Producers and its 2005 film adaptation. Other films he had starring credits in include WarGames (1983), Glory (1989), The Freshman (1990), The Cable Guy (1996), Godzilla (1998), Election (1999), Inspector Gadget (1999), and You Can Count on Me (2000). Broderick also directed himself in Infinity (1996) and provided voice work in Good Boy! (2003), Bee Movie (2007), and The Tale of Despereaux (2008)."
Hanna_Schygulla,singer,A,German actress and chanson singer,"Hanna Schygulla (German: [ˈha.na ʃyˈɡʊ.la] (listen); born 25 December 1943) is a German actress and chanson singer. Associated with the theater and film director Rainer Werner Fassbinder, for whom she first worked in 1965, she was active in the New German Cinema. She won the 1979 Berlin Silver Bear for Best Actress for Fassbinder's The Marriage of Maria Braun, and the 1983 Cannes Film Festival Award for Best Actress for the Marco Ferreri film The Story of Piera. Schygulla was born in Königshütte (now Chorzów, Poland) to German parents Antonie (née Mzyk) and Joseph Schygulla. Both the names Schygulla (also spelled Szyguła) and Mzyk are of Polish/Silesian origin."
Brie_Larson,singer,A,"American actress, singer-songwriter and musician","Brianne Sidonie Desaulniers (born October 1, 1989), known professionally as Brie Larson, is an American actress and filmmaker. Noted for her supporting roles in comedies as a teenager, she has since expanded to leading roles in both independent films and big-budget blockbusters. Her accolades include an Academy Award for Best Actress, a Primetime Emmy Award, and a Golden Globe. Time magazine named her one of the 100 most influential people in the world in 2019. Born in Sacramento, California, Larson was home-schooled."
Alodia_Gosiengfiao,singer,A,Filipino cosplayer and actress,"Alodía Almira Arraiza Gosiengfiao is a Filipina cosplayer, model, TV presenter, singer, pianist, vlogger and actress. She is also known as Senpai Alodia of the Philippines. As a celebrity endorser, she is one of the ambassadors and VJ for Animax Asia known as the ""Ani-mates"", and co-host of ABS-CBN's prank show Laugh Out Loud. She has been featured in various magazines, newspapers and TV shows locally and abroad. She appeared on the Filipino FHM 100 Sexiest Women poll, ranking No."
Amund_Maarud,singer,A,Norwegian musician and composer,"Amund Maarud (born 7 April 1981 in Nes, Akershus, Norway) is a Norwegian blues/rock musician (guitar, vocals) and composer, known as a solo artist and as frontman of rock bands The Grand (2005-2010) and the duo «Morudes» (2010 -) with his brother, the drummer Henrik Maarud. Maarud is known to many as one of the best blues guitarists in Norway. He has toured domestically and internationally with various bands, to the delight of their audiences and the press. The concerts are invariably described as potent live show which combines various elements from blues to psychedelic rock.Together with his brother Henrik Maarud (drums), he started the band «MaarudKara» at the age of six. The band came second in the Talentiaden (1997) on NRK, and released the album First Blues the year after."
Avril_Lavigne,singer,A,"Canadian singer, songwriter and actress","Avril Ramona Lavigne ( AV-ril lə-VEEN, French: [avʁil laviɲ]; born September 27, 1984) is a Canadian singer, songwriter and actress. By the age of 15, she had appeared on stage with Shania Twain, and by 16, she had signed a two-album recording contract with Arista Records worth more than $2 million. Lavigne's debut studio album, Let Go (2002), is the best-selling album of the 21st century by a Canadian artist. It yielded the singles ""Complicated"" and ""Sk8er Boi"", which emphasized a skate punk persona and earned her the title ""Pop Punk Queen"" from music publications. She is considered a key musician in the development of pop punk music since she paved the way for female-driven, punk-influenced pop music in the early 2000s."
María_Dolores_Pradera,singer,A,Spanish recording artist; singer and actress,"María Dolores Fernández Pradera OAXS (29 August 1924 – 28 May 2018) was a Spanish melodic singer and actress, and one of the most famous voices in Spain and Latin America. She started her career as an actress and during the 1950s she started singing professionally, eventually abandoning her career as an actress in the 1960s. She recorded more than 35 discs. As a singer, she specialized in traditional Spanish and Latin American music: bolero, copla, ballad, ronda, vals, and folk music (Peruvian, Argentinian, Mexican, and Venezuelan). Her contralto voice had a deep resonance and sure melodic footing which must stem from classical training."
David_Draiman,singer,A,American singer and songwriter,"David Michael Draiman (born March 13, 1973) is an American singer and songwriter, best known as the lead vocalist of heavy metal band Disturbed. He has a distorted, operatic baritone voice and percussive singing style. In 2006, Draiman was voted number 42 on the Hit Parader's ""Top 100 Metal Vocalists of All Time"". He has written some of Disturbed's most successful singles, such as ""Stupify"", ""Down with the Sickness"", ""Indestructible"", and ""Inside the Fire"". In 2011, Disturbed went on hiatus, and Draiman worked on an industrial metal project with Geno Lenardo, which was later named Device."
Lalaine,singer,A,"Filipino American actress, singer-songwriter and writer","Lalaine Vergara-Paras (born June 3, 1987), known mononymously as Lalaine, is an American actress, singer-songwriter, and bassist. She is best known for her roles on the Disney Channel as Miranda Sanchez in Lizzie McGuire and Abby Ramirez in You Wish!, as well as portraying Kate in the 1999 remake of Annie. After appearing in the roles of Young Cosette and Éponine in a Broadway musical production of Les Misérables as a child, Lalaine pursued a career in music. She signed with Warner Bros. Records following the end of Lizzie McGuire and released one studio album and one extended play, both of which saw little commercial success. Lalaine Vergara-Paras was born in Burbank, California, to Filipino parents; her mother, Lilia Vergara Paras is originally from Batangas, and her father from Pampanga."
Patti_LaBelle,singer,A,American singer-songwriter and actress,"Patti LaBelle (born Patricia Louise Holte; May 24, 1944) is an American singer, songwriter, actress, and businesswoman. LaBelle began her career in the early 1960s as lead singer and front woman of the vocal group, Patti LaBelle and the Bluebelles. Following the group's name change to Labelle in the 1970s, they released the iconic disco song ""Lady Marmalade"" which later was inducted into the Grammy Hall of Fame. As a result, the group later became the first African-American vocal group to land the cover of Rolling Stone magazine and they became the first pop group to play at the Metropolitan Opera House. LaBelle is referred to as the ""Godmother of Soul"".After the group split in 1976, LaBelle began a successful solo career, starting with her critically acclaimed debut album, which included the career-defining song, ""You Are My Friend""."
Hilde_Hildebrand,singer,A,German theater and film actress and singer,"Emma Minna Hilde Hildebrand was a German actress born in Hanover, Germany on 10 September 1897. She died at the age of 78 in Grunewald, Berlin, on 27 May 1976. Hilde Hildebrand at IMDb"
Ellie_Goulding,singer,A,English singer-songwriter and multi-instrumentalist,"Elena Jane Goulding ( GOLDing; born 30 December 1986) is an English singer and songwriter. Her career began when she met record producers Starsmith and Frankmusik, and she was later spotted by Jamie Lillywhite, who later became her manager and A&R. After signing to Polydor Records in July 2009, Goulding released her debut extended play, An Introduction to Ellie Goulding later that year.In 2010, she became the second artist to top the BBC's annual Sound of... poll and win the Critics' Choice Award at the Brit Awards in the same year. She released her debut studio album, Lights, in 2010; it debuted at No. 1 on the UK Albums Chart and has sold over 850,000 copies in the United Kingdom."
Pierre_Barouh,singer,A,French writer-composer-singer,"Pierre Barouh (born Élie Pierre Barouh; 19 February 1934 – 28 December 2016) was a French writer-composer-singer best known for his work on Claude Lelouch's film A Man and a Woman both as actor, and as lyricist/singer for Francis Lai's music for the film. Barouh was born in Paris and along with his brother, Albert, and sister, was raised in Levallois-Perret. Their parents were Turkish-Jewish stallholders selling fabrics. During the Second World War, their parents hid them from the Nazis; Pierre and his sister in Montournais and Albert in la Limouzinière. During these years Élie, baptised Pierre, lived at La Grèlerie, the home of Hilaire and Marie Rocher, who had two sons."
Hypatia,writer,A,Greek Neoplatonist philosopher,"Hypatia (born c. 350–370; died 415 AD) was a Hellenistic Neoplatonist philosopher, astronomer, and mathematician, who lived in Alexandria, Egypt, then part of the Eastern Roman Empire. She was a prominent thinker of the Neoplatonic school in Alexandria where she taught philosophy and astronomy. Although preceded by Pandrosion, another Alexandrine female mathematician, she is the first female mathematician whose life is reasonably well recorded. Hypatia was renowned in her own lifetime as a great teacher and a wise counselor. She is known to have written a commentary on Diophantus's thirteen-volume Arithmetica, which may survive in part, having been interpolated into Diophantus's original text, and another commentary on Apollonius of Perga's treatise on conic sections, which has not survived."
Carl_Barks,writer,A,American Disney comics creator (1901-2000),"Carl Barks (March 27, 1901 – August 25, 2000) was an American cartoonist, author, and painter. He is best known for his work in Disney comic books, as the writer and artist of the first Donald Duck stories and as the creator of Scrooge McDuck. He worked anonymously until late in his career; fans dubbed him The Duck Man and The Good Duck Artist. In 1987, Barks was one of the three inaugural inductees of the Will Eisner Comic Book Hall of Fame. Barks worked for the Disney Studio and Western Publishing where he created Duckburg and many of its inhabitants, such as Scrooge McDuck (1947), Gladstone Gander (1948), the Beagle Boys (1951), The Junior Woodchucks (1951), Gyro Gearloose (1952), Cornelius Coot (1952), Flintheart Glomgold (1956), John D. Rockerduck (1961) and Magica De Spell (1961)."
Britney_Spears,writer,A,"American singer, songwriter, dancer, and actress","Britney Jean Spears (born December 2, 1981) is an American singer, songwriter, dancer, and actress. She is credited with influencing the revival of teen pop during the late 1990s and early 2000s, for which she is referred to as the ""Princess of Pop"". After appearing in stage productions and television series, Spears signed with Jive Records in 1997 at age 15. Her first two studio albums, certified diamond in the US, ...Baby One More Time (1999) and Oops!... I Did It Again (2000) were global successes and became two of the best-selling albums of all time, along with making her the best-selling teenage artist of all time."
Bernard_Werber,writer,A,French science fiction writer,"Bernard Werber (born 1961 in Toulouse) is a French science fiction writer, active since the 1990s. He is chiefly recognized for having written the trilogy Les Fourmis, the only one of his novels to have been published in English. This series weaves together philosophy, spirituality, science fiction, thriller, science, mythology and consciousness. Werber's writing style mixes literary genres, including saga, science fiction and philosophical ideas. Most of his novels have the same format, alternating between prose and encyclopedic passages that expand upon the ideas in the former."
Ernesto_Teodoro_Moneta,writer,A,"Italian journalist, nationalist, revolutionary soldier and later a pacifist and Nobel Peace Prize Laureate","Ernesto Teodoro Moneta (September 20, 1833 in Milan, Kingdom of Lombardy–Venetia – February 10, 1918) was an Italian journalist, nationalist, revolutionary soldier and later a pacifist and Nobel Peace Prize Laureate. He adopted the motto In varietate unitas! which later inspired Motto of the European Union. At age 15, Moneta participated in the ""Five Days of Milan"" (1848 uprising against Austrian rule). He later attended the military academy in Ivrea."
Austregésilo_de_Athayde,writer,A,Brazilian writer and journalist,"Austregésilo de Athayde (September 25, 1898 – September 13, 1993) was a writer and journalist born in Caruaru, Pernambuco, Brazil. His career includes being invited by Assis Chateaubriand to work at a top position at the Diários Associados. Later he became an emblematic figure for the Academia Brasileira de Letras as he served as President of the organization for 34 years. He was active in human rights causes in Brazil. Austregésilo de Athayde died on September 13, 1993, in Rio de Janeiro at age 94."
Gian_Luigi_Bonelli,writer,A,Italian comic book author and writer,"Giovanni Luigi Bonelli (22 December 1908 in Milan – 12 January 2001 in Alessandria) was an Italian comic book author and publisher, best remembered as the co-creator of Tex Willer in 1948, together with artist Aurelio Galleppini. Bonelli founded Casa Audace Editrice in 1940, later to be known as Sergio Bonelli Editore. In 1948 he created Occhio Cupo and Tex Willer (both drawn by Galleppini). Tex Willer is among the most popular characters of Italian comics, with translations to numerous languages all around the world. He wrote several early episodes of Zagor (issues #6–10, 13–14)."
Henry_Dunant,writer,A,Swiss businessman and founder of the Red Cross,"Henry Dunant (born Jean-Henri Dunant; 8 May 1828 – 30 October 1910), also known as Henri Dunant, was a Swiss humanitarian, businessman and social activist. He was the visionary, promoter and co-founder of the Red Cross. In 1901 he received the first Nobel Peace Prize together with Frédéric Passy, making Dunant the first Swiss Nobel laureate. During a business trip in 1859, Dunant was witness to the aftermath of the Battle of Solferino in modern-day Italy. He recorded his memories and experiences in the book A Memory of Solferino which inspired the creation of the International Committee of the Red Cross (ICRC) in 1863."
Hippoliet_Van_Peene,writer,A,Flemish physician and playwright. Composer of the Flemish anthem (1811-1864),"Hippoliet Jan Van Peene (1 January 1811 Kaprijke – 19 February 1864 Ghent) was a Flemish physician and playwright. He studied medicine at the State University of Leuven and became a physician in Kaprijke and later in Ghent. In 1847 he wrote the lyrics of the Flemish anthem De Vlaamse Leeuw of which the music was composed by Karel Miry. He was the first modern Flemish playwright and he wrote 35 theatre plays, which in his time were performed by Broedermin en Taelyver in Ghent. At the inauguration of the Minard Theatre in 1847, his Brigitta of de Twee Vondelingen was performed."
Edmond_Privat,writer,A,"Francophone Swiss Esperantist, historian, university professor, author, journalist and peace activist","Edmond Privat (17 August 1889 – 28 August 1962) was a Francophone Swiss Esperantist. A historian, university professor, author, journalist and peace activist, he was a graduate of the University of Geneva and a lecturer for the World Peace Foundation. His collective works consist of original dramas, poems, stories, textbooks and books about the Esperanto movement. Having already learned Esperanto in childhood, Privat and fellow student Hector Hodler founded in 1903 the journal Juna Esperantisto (The Young Esperantist). Though still an adolescent in 1905, he walked 600 kilometres to participate in the first World Congress of Esperanto in Boulogne-sur-Mer, France, where he spoke with mature eloquence.At the 1907 International Socialist Congress, Privat advocated the use of Esperanto by the International Socialist Bureau in Brussels."
Gaston_Waringhien,writer,A,"French linguist, lexicographer and Esperantist","Gaston Waringhien (July 20, 1901 – December 20, 1991) was a French linguist, lexicographer, and Esperantist. He wrote poems as well as essays and books on linguistics. He was chairman of the Akademio de Esperanto. Plena Vortaro (1930) Plena Ilustrita Vortaro (1970)    Parnasa gvidlibro (with Kálmán Kalocsay, 1932) Kontribuo al poemkolekto Dekdu Poetoj, 1934 Plena (analiza) gramatiko (with Kálmán Kalocsay, 1935, 1938, 1981) Facilaj esperantaj legajhoj (redaction, 1935) Maximes de La Rochefoucauld (translation, 1935) Leteroj de L.L.Zamenhof (redaction, 1948) Poemoj de Omar Kajam (translation, 1953) Eseoj I: Beletro (1956) La floroj de l' malbono (""Les fleurs du mal"" (The flowers of evil) by Charles Baudelaire, translator and redactor, 1957) Kantoj kaj romancoj (translation with Kálmán Kalocsay) La trofeoj (translation 1977) Tra la parko de la franca poezio: La renesanca periodo / La klasika periodo (translations, 1977/1980) La ĥimeroj (translations, 1976) Lingvo kaj vivo (essays, 1969) Ni kaj ĝi (essays, 1972) 1887 kaj la sekvo (essays, 1980) Kaj la ceter' - nur literaturo (essays, 1983) Duonvoĉe (original poems, 1939 and 1963)"
Wilhelm_Ostwald,writer,A,Baltic German chemist,"Friedrich Wilhelm Ostwald (German pronunciation: [ˈvɪlhɛlm ˈɔstˌvalt] (listen); 2 September [O.S. 21 August] 1853 – 4 April 1932) was a Baltic German chemist and philosopher. Ostwald is credited with being one of the founders of the field of physical chemistry, with Jacobus Henricus van 't Hoff, Walther Nernst, and Svante Arrhenius. He received the Nobel Prize in Chemistry in 1909 for his scientific contributions to the fields of catalysis, chemical equilibria and reaction velocities.Following his 1906 retirement from academic life, Ostwald became much involved in philosophy, art, and politics. He made significant contributions to each of these fields."
"Robert_Baden-Powell,_1st_Baron_Baden-Powell",writer,A,"lieutenant-general in the British Army, writer, founder and Chief Scout of the Scout Movement (1857-1941)","Lieutenant General Robert Stephenson Smyth Baden-Powell, 1st Baron Baden-Powell,  ( BAY-dən POH-əl; 22 February 1857 – 8 January 1941), was a British Army officer, writer, founder and first Chief Scout of the world-wide Scout Movement, and founder, with his sister Agnes, of the world-wide Girl Guide / Girl Scout Movement. Baden-Powell authored the first editions of the seminal work Scouting for Boys, which was an inspiration for the Scout Movement.Educated at Charterhouse School, Baden-Powell served in the British Army from 1876 until 1910 in India and Africa. In 1899, during the Second Boer War in South Africa, Baden-Powell successfully defended the town in the Siege of Mafeking. Several of his books, written for military reconnaissance and scout training in his African years, were also read by boys. In August 1907, he held a demonstration camp, the Brownsea Island Scout camp, which is now seen as the beginning of Scouting."
Jean_Jaurès,writer,A,French / Occitan Socialist leader (1859-1914),"Auguste Marie Joseph Jean Léon Jaurès (3 September 1859 – 31 July 1914), commonly referred to as Jean Jaurès (French: [ʒɑ̃ ʒɔʁɛs]), was a French Socialist leader. Initially a moderate republican, he was later one of the first social democrats, becoming the leader, in 1902, of the French Socialist Party, which opposed Jules Guesde's revolutionary Socialist Party of France. The two parties merged in 1905 in the French Section of the Workers' International (SFIO). An antimilitarist, Jaurès was assassinated at the outbreak of World War I, and remains one of the main historical figures of the French Left. Jaurès was a heterodox Marxist: he rejected the dictatorship of the proletariat and tried to conciliate idealism and materialism, individualism and collectivism, democracy and class struggle, patriotism and internationalism."
Nitobe_Inazō,writer,A,"Japanese author, educator, agricultural economist, diplomat, politician","Nitobe Inazō (新渡戸 稲造, September 1, 1862 – October 15, 1933) was a Japanese author, educator, agricultural economist, diplomat, politician, and Christian during the pre-World War II period. Nitobe was born in Morioka, Mutsu Province (present-day Iwate Prefecture). His father Nitobe Jūjirō was a retainer to the local daimyō of the Nanbu clan. His grandfather is Nitobe Tsutō. His great-grandfather is Nitobe Denzō (Koretami)."
Maxim_Gorky,writer,A,Russian and Soviet writer (1868-1936),"Alexei Maximovich Peshkov (Russian: Алексе́й Макси́мович Пешко́в or Пе́шков; 28 March [O.S. 16 March] 1868 – 18 June 1936), primarily known as Maxim Gorky (Russian: Макси́м Го́рький), was a Russian and Soviet writer, a founder of the socialist realism literary method, and a political activist. He was also a five-time nominee for the Nobel Prize in Literature. Prior to his renown as an author, he frequently changed jobs and roamed across the Russian Empire; these experiences would later influence his writing. Gorky's most famous works were The Lower Depths (1902),  Twenty-six Men and a Girl (1899), The Song of the Stormy Petrel (1901), My Childhood (1913–1914), Mother (1906), Summerfolk (1904) and Children of the Sun (1905)."
Johann_Martin_Schleyer,writer,A,German Catholic priest,"Martin Schleyer (German: [joˈhan ˈmartiːn ˈʃlaɪ̯ər]; 18 July 1831 – 16 August 1912) was a German Catholic priest who invented the constructed language Volapük. His official name was ""Martin Schleyer""; he added the name ""Johann"" (in honor of his godfather) unofficially. Schleyer was born in Oberlauda (Baden). According to his own report, the idea of an international language arose out of a conversation he had with one of his parishioners, a semi-literate German peasant whose son had emigrated to America and could no longer be reached by mail because the United States Postal Service could not read the father's handwriting. He was ordained in 1856."
John_Amos_Comenius,writer,A,"Czech teacher, educator, philosopher and writer (1592-1670)","John Amos Comenius (; Czech: Jan Amos Komenský; German: Johann Amos Comenius; Latinized: Ioannes Amos Comenius; 28 March 1592 – 15 November 1670) was a Moravian philosopher, pedagogue and theologian from the Margraviate of Moravia who is considered the father of modern education. He served as the last bishop of the Unity of the Brethren before becoming a religious refugee and one of the earliest champions of universal education, a concept eventually set forth in his book Didactica Magna. As an educator and theologian, he led schools and advised governments across Protestant Europe through the middle of the seventeenth century. Comenius introduced a number of educational concepts and innovations including pictorial textbooks written in native languages instead of Latin, teaching based in gradual development from simple to more comprehensive concepts, lifelong learning with a focus on logical thinking over dull memorization, equal opportunity for impoverished children , education for women, and universal and practical instruction. Besides his native Bohemian Crown, he lived and worked in other regions of the Holy Roman Empire, and other countries: Sweden, the Polish–Lithuanian Commonwealth, Transylvania, England, the Netherlands and Hungary."
