person,text,processed_text,description,processed_description,type,category
Taylor_Swift,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. Her narrative lyricism, which often takes inspiration from her personal life, has received widespread critical praise and media coverage. Born in West Reading, Pennsylvania, Swift relocated to Nashville, Tennessee, in 2004 to pursue a career in country music. She broke into the country music scene with her eponymous debut studio album in 2006, which included the singles ""Teardrops on My Guitar"" and ""Our Song"". Swift rose to mainstream prominence with her second studio album, Fearless (2008), a country pop record with crossover appeal.","taylor alison swift ( born december 13 , 1989 ) american singer-songwriter . narrative lyricism , often takes inspiration personal life , received widespread critical praise media coverage . born west reading , pennsylvania , swift relocated nashville , tennessee , 2004 pursue career country music . broke country music scene eponymous debut studio album 2006 , included singles `` teardrops guitar '' `` song '' . swift rose mainstream prominence second studio album , fearless ( 2008 ) , country pop record crossover appeal .",American singer-songwriter,american singer-songwriter,A,singer
Pete_Townshend,"Peter Dennis Blandford Townshend (born 19 May 1945) is an English guitarist, singer and composer. He is co-founder, leader, guitarist, secondary lead vocalist and principal songwriter of the Who, one of the most influential rock bands of the 1960s and 1970s.Townshend has written more than 100 songs for 12 of the Who's studio albums. These include concept albums, the rock operas Tommy and Quadrophenia, plus popular rock radio staples such as Who's Next; as well as dozens more that appeared as non-album singles, bonus tracks on reissues, and  tracks on rarities compilations such as Odds & Sods (1974). He has also written more than 100 songs that have appeared on his solo albums, as well as radio jingles and television theme songs. As an instrumentalist, although known primarily as a guitarist, Townshend also plays keyboards, banjo, accordion, harmonica, ukulele, mandolin, violin, synthesiser, bass guitar, and drums.","peter dennis blandford townshend ( born 19 may 1945 ) english guitarist , singer composer . co-founder , leader , guitarist , secondary lead vocalist principal songwriter , one influential rock bands 1960s 1970s.townshend written 100 songs 12 's studio albums . include concept albums , rock operas tommy quadrophenia , plus popular rock radio staples 's next ; well dozens appeared non-album singles , bonus tracks reissues , tracks rarities compilations odds & sods ( 1974 ) . also written 100 songs appeared solo albums , well radio jingles television theme songs . instrumentalist , although known primarily guitarist , townshend also plays keyboards , banjo , accordion , harmonica , ukulele , mandolin , violin , synthesiser , bass guitar , drums .","English rock guitarist of The Who, vocalist, songwriter and author","english rock guitarist , vocalist , songwriter author",A,singer
Caroline_Sunshine,"Caroline Mohr Sunshine (born September 5, 1995) is an American former actress, dancer, and singer who previously worked as a White House staffer. As an actress, she is best known for her co-starring role as flashy, rude European exchange student Tinka Hessenheffer on the Disney Channel series Shake It Up. Sunshine has also appeared in the feature film Marmaduke (2010), the documentary Behind The Scenes (2012), and the direct-to-video film The Outfield (2015). Caroline Sunshine was born on September 5, 1995, in Atlanta, Georgia, to parents Thom and Karen Sunshine. She was raised in Orange County, California, and has two younger brothers, Johnny and Christopher.","caroline mohr sunshine ( born september 5 , 1995 ) american former actress , dancer , singer previously worked white house staffer . actress , best known co-starring role flashy , rude european exchange student tinka hessenheffer disney channel series shake . sunshine also appeared feature film marmaduke ( 2010 ) , documentary behind scenes ( 2012 ) , direct-to-video film outfield ( 2015 ) . caroline sunshine born september 5 , 1995 , atlanta , georgia , parents thom karen sunshine . raised orange county , california , two younger brothers , johnny christopher .","American actress, dancer and singer","american actress , dancer singer",A,singer
Katja_Ebstein,"Katja Ebstein (born Karin Witkiewicz; 9 March 1945) is a German singer. She was born in Girlachsdorf (now Gniewków, Poland). She achieved success with songs such as Theater and Es war einmal ein Jäger. She was married to Christian Bruhn, who wrote many of her songs. She represented Germany at the Eurovision Song Contest three times, in 1970, 1971, and 1980.","katja ebstein ( born karin witkiewicz ; 9 march 1945 ) german singer . born girlachsdorf ( gniewków , poland ) . achieved success songs theater es war einmal ein jäger . married christian bruhn , wrote many songs . represented germany eurovision song contest three times , 1970 , 1971 , 1980 .",German singer,german singer,A,singer
Lonnie_Donegan,"Anthony James Donegan  (29 April 1931 – 3 November 2002), known as Lonnie Donegan, was a British skiffle singer, songwriter and musician, referred to as the ""King of Skiffle"", who influenced 1960s British pop and rock musicians. Born in Scotland and raised in England, he was Britain's most successful and influential recording artist before the Beatles.Donegan had 31 UK top 30 hit singles, 24 being successive and three at number one. He was the first British male singer with two US top 10 hits. Donegan received an Ivor Novello lifetime achievement award in 1995 and, in 2000, he was made an MBE. Donegan was born in Bridgeton, Glasgow, Scotland, on 29 April 1931.","anthony james donegan ( 29 april 1931 – 3 november 2002 ) , known lonnie donegan , british skiffle singer , songwriter musician , referred `` king skiffle '' , influenced 1960s british pop rock musicians . born scotland raised england , britain 's successful influential recording artist beatles.donegan 31 uk top 30 hit singles , 24 successive three number one . first british male singer two us top 10 hits . donegan received ivor novello lifetime achievement award 1995 , 2000 , made mbe . donegan born bridgeton , glasgow , scotland , 29 april 1931 .",Scottish-born skiffle musician,scottish-born skiffle musician,A,singer
Nicky_Hopkins,"Nicholas Christian Hopkins (24 February 1944 – 6 September 1994) was an English pianist and organist. Hopkins recorded and performed on many notable British and American pop and rock music releases from the 1960s through the 1990s including many songs by The Rolling Stones, The Kinks and The Who. Nicholas Christian Hopkins was born in Perivale, Middlesex, England, on 24 February 1944. He began playing the piano at the age of three. He attended Sudbury Primary School in Perrin Road and Wembley County Grammar School, which now forms part of Alperton Community School, and was initially tutored by a local piano teacher; in his teens he won a scholarship to the Royal Academy of Music in London.","nicholas christian hopkins ( 24 february 1944 – 6 september 1994 ) english pianist organist . hopkins recorded performed many notable british american pop rock music releases 1960s 1990s including many songs rolling stones , kinks . nicholas christian hopkins born perivale , middlesex , england , 24 february 1944 . began playing piano age three . attended sudbury primary school perrin road wembley county grammar school , forms part alperton community school , initially tutored local piano teacher ; teens scholarship royal academy music london .",English session musician; pianist and organist,english session musician ; pianist organist,A,singer
Paty_Navidad,"Paty Navidad (Spanish pronunciation: [paˈtɾisja naβiˈðað]; born Ana Patricia Navidad Lara on May 20, 1973) is a Mexican actress and singer. Navidad developed an interest in music before acting, mainly influenced by her father, Jesús. She once was quoted as saying that his voice has been her inspiration since she was born. When she was nine years old she sang to the public for the first time in a school festival, and at fifteen she made her professional debut. Two years later, Navidad saw a greater opportunity in the Señorita Sinaloa (Miss Sinaloa) contest which offered as a grand prize a scholarship to Centro de Educación Artística de Televisa (Center of Artistic Education) in Mexico City.","paty navidad ( spanish pronunciation : [ paˈtɾisja naβiˈðað ] ; born ana patricia navidad lara may 20 , 1973 ) mexican actress singer . navidad developed interest music acting , mainly influenced father , jesús . quoted saying voice inspiration since born . nine years old sang public first time school festival , fifteen made professional debut . two years later , navidad saw greater opportunity señorita sinaloa ( miss sinaloa ) contest offered grand prize scholarship centro de educación artística de televisa ( center artistic education ) mexico city .",Mexican actress and singer,mexican actress singer,A,singer
Matthew_Broderick,"Matthew Broderick (born March 21, 1962) is an American actor and singer. His roles include the Golden Globe-nominated portrayal of the title character in Ferris Bueller's Day Off (1986), the voice of Simba in Disney's The Lion King (1994), and Leo Bloom in both the Broadway musical The Producers and its 2005 film adaptation. Other films he had starring credits in include WarGames (1983), Glory (1989), The Freshman (1990), The Cable Guy (1996), Godzilla (1998), Election (1999), Inspector Gadget (1999), and You Can Count on Me (2000). Broderick also directed himself in Infinity (1996) and provided voice work in Good Boy! (2003), Bee Movie (2007), and The Tale of Despereaux (2008).","matthew broderick ( born march 21 , 1962 ) american actor singer . roles include golden globe-nominated portrayal title character ferris bueller 's day ( 1986 ) , voice simba disney 's lion king ( 1994 ) , leo bloom broadway musical producers 2005 film adaptation . films starring credits include wargames ( 1983 ) , glory ( 1989 ) , freshman ( 1990 ) , cable guy ( 1996 ) , godzilla ( 1998 ) , election ( 1999 ) , inspector gadget ( 1999 ) , count ( 2000 ) . broderick also directed infinity ( 1996 ) provided voice work good boy ! ( 2003 ) , bee movie ( 2007 ) , tale despereaux ( 2008 ) .","American film, stage and voice actor","american film , stage voice actor",A,singer
Hanna_Schygulla,"Hanna Schygulla (German: [ˈha.na ʃyˈɡʊ.la] (listen); born 25 December 1943) is a German actress and chanson singer. Associated with the theater and film director Rainer Werner Fassbinder, for whom she first worked in 1965, she was active in the New German Cinema. She won the 1979 Berlin Silver Bear for Best Actress for Fassbinder's The Marriage of Maria Braun, and the 1983 Cannes Film Festival Award for Best Actress for the Marco Ferreri film The Story of Piera. Schygulla was born in Königshütte (now Chorzów, Poland) to German parents Antonie (née Mzyk) and Joseph Schygulla. Both the names Schygulla (also spelled Szyguła) and Mzyk are of Polish/Silesian origin.","hanna schygulla ( german : [ ˈha.na ʃyˈɡʊ.la ] ( listen ) ; born 25 december 1943 ) german actress chanson singer . associated theater film director rainer werner fassbinder , first worked 1965 , active new german cinema . 1979 berlin silver bear best actress fassbinder 's marriage maria braun , 1983 cannes film festival award best actress marco ferreri film story piera . schygulla born königshütte ( chorzów , poland ) german parents antonie ( née mzyk ) joseph schygulla . names schygulla ( also spelled szyguła ) mzyk polish/silesian origin .",German actress and chanson singer,german actress chanson singer,A,singer
Brie_Larson,"Brianne Sidonie Desaulniers (born October 1, 1989), known professionally as Brie Larson, is an American actress and filmmaker. Noted for her supporting roles in comedies as a teenager, she has since expanded to leading roles in both independent films and big-budget blockbusters. Her accolades include an Academy Award for Best Actress, a Primetime Emmy Award, and a Golden Globe. Time magazine named her one of the 100 most influential people in the world in 2019. Born in Sacramento, California, Larson was home-schooled.","brianne sidonie desaulniers ( born october 1 , 1989 ) , known professionally brie larson , american actress filmmaker . noted supporting roles comedies teenager , since expanded leading roles independent films big-budget blockbusters . accolades include academy award best actress , primetime emmy award , golden globe . time magazine named one 100 influential people world 2019 . born sacramento , california , larson home-schooled .","American actress, singer-songwriter and musician","american actress , singer-songwriter musician",A,singer
Alodia_Gosiengfiao,"Alodía Almira Arraiza Gosiengfiao is a Filipina cosplayer, model, TV presenter, singer, pianist, vlogger and actress. She is also known as Senpai Alodia of the Philippines. As a celebrity endorser, she is one of the ambassadors and VJ for Animax Asia known as the ""Ani-mates"", and co-host of ABS-CBN's prank show Laugh Out Loud. She has been featured in various magazines, newspapers and TV shows locally and abroad. She appeared on the Filipino FHM 100 Sexiest Women poll, ranking No.","alodía almira arraiza gosiengfiao filipina cosplayer , model , tv presenter , singer , pianist , vlogger actress . also known senpai alodia philippines . celebrity endorser , one ambassadors vj animax asia known `` ani-mates '' , co-host abs-cbn 's prank show laugh loud . featured various magazines , newspapers tv shows locally abroad . appeared filipino fhm 100 sexiest women poll , ranking .",Filipino cosplayer and actress,filipino cosplayer actress,A,singer
Amund_Maarud,"Amund Maarud (born 7 April 1981 in Nes, Akershus, Norway) is a Norwegian blues/rock musician (guitar, vocals) and composer, known as a solo artist and as frontman of rock bands The Grand (2005-2010) and the duo «Morudes» (2010 -) with his brother, the drummer Henrik Maarud. Maarud is known to many as one of the best blues guitarists in Norway. He has toured domestically and internationally with various bands, to the delight of their audiences and the press. The concerts are invariably described as potent live show which combines various elements from blues to psychedelic rock.Together with his brother Henrik Maarud (drums), he started the band «MaarudKara» at the age of six. The band came second in the Talentiaden (1997) on NRK, and released the album First Blues the year after.","amund maarud ( born 7 april 1981 nes , akershus , norway ) norwegian blues/rock musician ( guitar , vocals ) composer , known solo artist frontman rock bands grand ( 2005-2010 ) duo « morudes » ( 2010 - ) brother , drummer henrik maarud . maarud known many one best blues guitarists norway . toured domestically internationally various bands , delight audiences press . concerts invariably described potent live show combines various elements blues psychedelic rock.together brother henrik maarud ( drums ) , started band « maarudkara » age six . band came second talentiaden ( 1997 ) nrk , released album first blues year .",Norwegian musician and composer,norwegian musician composer,A,singer
Avril_Lavigne,"Avril Ramona Lavigne ( AV-ril lə-VEEN, French: [avʁil laviɲ]; born September 27, 1984) is a Canadian singer, songwriter and actress. By the age of 15, she had appeared on stage with Shania Twain, and by 16, she had signed a two-album recording contract with Arista Records worth more than $2 million. Lavigne's debut studio album, Let Go (2002), is the best-selling album of the 21st century by a Canadian artist. It yielded the singles ""Complicated"" and ""Sk8er Boi"", which emphasized a skate punk persona and earned her the title ""Pop Punk Queen"" from music publications. She is considered a key musician in the development of pop punk music since she paved the way for female-driven, punk-influenced pop music in the early 2000s.","avril ramona lavigne ( av-ril lə-veen , french : [ avʁil laviɲ ] ; born september 27 , 1984 ) canadian singer , songwriter actress . age 15 , appeared stage shania twain , 16 , signed two-album recording contract arista records worth $ 2 million . lavigne 's debut studio album , let go ( 2002 ) , best-selling album 21st century canadian artist . yielded singles `` complicated '' `` sk8er boi '' , emphasized skate punk persona earned title `` pop punk queen '' music publications . considered key musician development pop punk music since paved way female-driven , punk-influenced pop music early 2000s .","Canadian singer, songwriter and actress","canadian singer , songwriter actress",A,singer
María_Dolores_Pradera,"María Dolores Fernández Pradera OAXS (29 August 1924 – 28 May 2018) was a Spanish melodic singer and actress, and one of the most famous voices in Spain and Latin America. She started her career as an actress and during the 1950s she started singing professionally, eventually abandoning her career as an actress in the 1960s. She recorded more than 35 discs. As a singer, she specialized in traditional Spanish and Latin American music: bolero, copla, ballad, ronda, vals, and folk music (Peruvian, Argentinian, Mexican, and Venezuelan). Her contralto voice had a deep resonance and sure melodic footing which must stem from classical training.","maría dolores fernández pradera oaxs ( 29 august 1924 – 28 may 2018 ) spanish melodic singer actress , one famous voices spain latin america . started career actress 1950s started singing professionally , eventually abandoning career actress 1960s . recorded 35 discs . singer , specialized traditional spanish latin american music : bolero , copla , ballad , ronda , vals , folk music ( peruvian , argentinian , mexican , venezuelan ) . contralto voice deep resonance sure melodic footing must stem classical training .",Spanish recording artist; singer and actress,spanish recording artist ; singer actress,A,singer
David_Draiman,"David Michael Draiman (born March 13, 1973) is an American singer and songwriter, best known as the lead vocalist of heavy metal band Disturbed. He has a distorted, operatic baritone voice and percussive singing style. In 2006, Draiman was voted number 42 on the Hit Parader's ""Top 100 Metal Vocalists of All Time"". He has written some of Disturbed's most successful singles, such as ""Stupify"", ""Down with the Sickness"", ""Indestructible"", and ""Inside the Fire"". In 2011, Disturbed went on hiatus, and Draiman worked on an industrial metal project with Geno Lenardo, which was later named Device.","david michael draiman ( born march 13 , 1973 ) american singer songwriter , best known lead vocalist heavy metal band disturbed . distorted , operatic baritone voice percussive singing style . 2006 , draiman voted number 42 hit parader 's `` top 100 metal vocalists time '' . written disturbed 's successful singles , `` stupify '' , `` sickness '' , `` indestructible '' , `` inside fire '' . 2011 , disturbed went hiatus , draiman worked industrial metal project geno lenardo , later named device .",American singer and songwriter,american singer songwriter,A,singer
Lalaine,"Lalaine Vergara-Paras (born June 3, 1987), known mononymously as Lalaine, is an American actress, singer-songwriter, and bassist. She is best known for her roles on the Disney Channel as Miranda Sanchez in Lizzie McGuire and Abby Ramirez in You Wish!, as well as portraying Kate in the 1999 remake of Annie. After appearing in the roles of Young Cosette and Éponine in a Broadway musical production of Les Misérables as a child, Lalaine pursued a career in music. She signed with Warner Bros. Records following the end of Lizzie McGuire and released one studio album and one extended play, both of which saw little commercial success. Lalaine Vergara-Paras was born in Burbank, California, to Filipino parents; her mother, Lilia Vergara Paras is originally from Batangas, and her father from Pampanga.","lalaine vergara-paras ( born june 3 , 1987 ) , known mononymously lalaine , american actress , singer-songwriter , bassist . best known roles disney channel miranda sanchez lizzie mcguire abby ramirez wish ! , well portraying kate 1999 remake annie . appearing roles young cosette éponine broadway musical production les misérables child , lalaine pursued career music . signed warner bros. records following end lizzie mcguire released one studio album one extended play , saw little commercial success . lalaine vergara-paras born burbank , california , filipino parents ; mother , lilia vergara paras originally batangas , father pampanga .","Filipino American actress, singer-songwriter and writer","filipino american actress , singer-songwriter writer",A,singer
Patti_LaBelle,"Patti LaBelle (born Patricia Louise Holte; May 24, 1944) is an American singer, songwriter, actress, and businesswoman. LaBelle began her career in the early 1960s as lead singer and front woman of the vocal group, Patti LaBelle and the Bluebelles. Following the group's name change to Labelle in the 1970s, they released the iconic disco song ""Lady Marmalade"" which later was inducted into the Grammy Hall of Fame. As a result, the group later became the first African-American vocal group to land the cover of Rolling Stone magazine and they became the first pop group to play at the Metropolitan Opera House. LaBelle is referred to as the ""Godmother of Soul"".After the group split in 1976, LaBelle began a successful solo career, starting with her critically acclaimed debut album, which included the career-defining song, ""You Are My Friend"".","patti labelle ( born patricia louise holte ; may 24 , 1944 ) american singer , songwriter , actress , businesswoman . labelle began career early 1960s lead singer front woman vocal group , patti labelle bluebelles . following group 's name change labelle 1970s , released iconic disco song `` lady marmalade '' later inducted grammy hall fame . result , group later became first african-american vocal group land cover rolling stone magazine became first pop group play metropolitan opera house . labelle referred `` godmother soul '' .after group split 1976 , labelle began successful solo career , starting critically acclaimed debut album , included career-defining song , `` friend '' .",American singer-songwriter and actress,american singer-songwriter actress,A,singer
Hilde_Hildebrand,"Emma Minna Hilde Hildebrand was a German actress born in Hanover, Germany on 10 September 1897. She died at the age of 78 in Grunewald, Berlin, on 27 May 1976. Hilde Hildebrand at IMDb","emma minna hilde hildebrand german actress born hanover , germany 10 september 1897 . died age 78 grunewald , berlin , 27 may 1976 . hilde hildebrand imdb",German theater and film actress and singer,german theater film actress singer,A,singer
Ellie_Goulding,"Elena Jane Goulding ( GOLDing; born 30 December 1986) is an English singer and songwriter. Her career began when she met record producers Starsmith and Frankmusik, and she was later spotted by Jamie Lillywhite, who later became her manager and A&R. After signing to Polydor Records in July 2009, Goulding released her debut extended play, An Introduction to Ellie Goulding later that year.In 2010, she became the second artist to top the BBC's annual Sound of... poll and win the Critics' Choice Award at the Brit Awards in the same year. She released her debut studio album, Lights, in 2010; it debuted at No. 1 on the UK Albums Chart and has sold over 850,000 copies in the United Kingdom.","elena jane goulding ( golding ; born 30 december 1986 ) english singer songwriter . career began met record producers starsmith frankmusik , later spotted jamie lillywhite , later became manager & r . signing polydor records july 2009 , goulding released debut extended play , introduction ellie goulding later year.in 2010 , became second artist top bbc 's annual sound ... poll win critics ' choice award brit awards year . released debut studio album , lights , 2010 ; debuted . 1 uk albums chart sold 850,000 copies united kingdom .",English singer-songwriter and multi-instrumentalist,english singer-songwriter multi-instrumentalist,A,singer
